h3,name,source_url,note
608531380023853055,Tromper Wiek north-east Rügen,https://www.openstreetmap.org/#map=12/54.5383/13.8538,not an anchorage
608531380057407487,Tromper Wiek north-east Rügen,https://www.openstreetmap.org/#map=12/54.5206/13.8368,not an anchorage
608533612567986175,Varberg approach – Sweden,https://www.openstreetmap.org/#map=12/57.1118/12.2340,not an anchorage
608533661859446783,Vejle Fjord,https://www.openstreetmap.org/#map=12/55.7038/9.5602,not an anchorage
608433302365274111,Wadden Sea at Lauwersoog – Netherlands,https://www.openstreetmap.org/#map=12/53.4154/6.2005,not an anchorage
608534726306693119,Wadden Sea at Rømø and List,https://www.openstreetmap.org/#map=12/55.0818/8.5554,not an anchorage
608532726613540863,Weser fairway off Nordenham,https://www.openstreetmap.org/#map=12/53.5934/8.5202,not an anchorage
608432630790094847,central North Sea offshore field area – Norwegian sector,https://www.openstreetmap.org/#map=12/56.3510/3.8789,not an anchorage
608432631998054399,central North Sea offshore field area – Norwegian sector,https://www.openstreetmap.org/#map=12/56.2987/3.9062,not an anchorage
608432664747180031,central North Sea offshore field area – Norwegian sector,https://www.openstreetmap.org/#map=12/56.4528/4.0639,not an anchorage
608533670952697855,northern Storebælt off Odense Fjord,https://www.openstreetmap.org/#map=12/55.5908/10.5007,not an anchorage
608533655920312319,northern Storebælt – Samsø Bælt,https://www.openstreetmap.org/#map=12/55.7358/10.8713,not an anchorage
608533722894958591,Øresund at Helsingør and Helsingborg,https://www.openstreetmap.org/#map=12/56.0482/12.6848,not an anchorage
608531685922832383,Øresund off Kastrup and Dragør,https://www.openstreetmap.org/#map=12/55.6394/12.6684,not an anchorage
608532326644711423,Świnoujście approach – Pomeranian Bay,https://www.openstreetmap.org/#map=12/53.9919/14.2946,not an anchorage
